Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,79.117142,79.285713,77.375717,78.432854,69.319641,140129500
2013-01-03,78.268570,78.524284,77.285713,77.442856,68.444672,88241300
2013-01-04,76.709999,76.947144,75.118568,75.285713,66.538162,148583400
2013-01-07,74.571426,75.614288,73.599998,74.842857,66.146751,121039100
2013-01-08,75.601425,75.984283,74.464287,75.044289,66.324783,114676800
2013-01-09,74.642860,75.001427,73.712860,73.871429,65.288208,101901100
2013-01-10,75.507141,75.531425,73.645714,74.787140,66.097511,150286500
2013-01-11,74.428574,75.045715,74.145714,74.328575,65.692223,87626700
2013-01-14,71.811432,72.500000,71.215714,71.678574,63.350147,183551900
2013-01-15,71.185715,71.284286,69.054283,69.417145,61.351456,219193100
2013-01-16,70.662857,72.777145,70.357140,72.298569,63.898102,172701200
2013-01-17,72.901428,72.964287,71.718575,71.811432,63.467560,113419600
2013-01-18,71.217140,71.745712,70.914284,71.428574,63.129196,118230700
2013-01-22,72.080002,72.554283,70.947144,72.110001,63.731434,115386600
2013-01-23,72.687141,73.570000,72.110001,73.430000,64.898071,215377400
2013-01-24,65.714287,66.532860,64.321426,64.357140,56.879379,365213100
2013-01-25,64.527145,65.175713,62.142857,62.840000,55.538528,302006600
2013-01-28,62.547142,64.744286,62.265713,64.261429,56.794800,196379400
2013-01-29,65.500000,65.742859,64.588570,65.467140,57.860420,142789500
2013-01-30,65.285713,66.085716,64.928574,65.261429,57.678608,104288800
2013-01-31,65.282860,65.611427,64.997147,65.070000,57.509426,79833600
2013-02-01,65.587143,65.639999,64.050003,64.802856,57.273327,134871100
2013-02-04,64.844284,65.134285,63.142857,63.188572,55.846603,119279300
2013-02-05,63.435715,65.677139,63.174286,65.405716,57.806129,143336900
2013-02-06,65.209999,66.642860,64.654289,65.335716,57.744255,148426600
2013-02-07,66.178574,67.142860,64.874283,66.888573,59.461220,176145200
2013-02-08,67.714287,68.401428,66.892860,67.854286,60.319698,158289600
2013-02-11,68.071426,69.277145,67.607140,68.561432,60.948330,129372600
2013-02-12,68.501427,68.911430,66.820000,66.842857,59.420586,152263300
2013-02-13,66.744286,67.662857,66.174286,66.715714,59.307556,118801900
2013-02-14,66.360001,67.377144,66.288574,66.655716,59.254223,88818800
2013-02-15,66.978569,67.165718,65.702858,65.737144,58.437645,97936300
2013-02-19,65.871429,66.104286,64.835716,65.712860,58.416065,108945900
2013-02-20,65.384285,65.384285,64.114288,64.121429,57.001354,119075600
2013-02-21,63.714287,64.167145,63.259998,63.722858,56.647041,111795600
2013-02-22,64.178574,64.514282,63.799999,64.401428,57.250252,82663700
2013-02-25,64.835716,65.017143,63.224285,63.257141,56.233032,93144800
2013-02-26,63.402859,64.505714,62.522858,64.138573,57.016586,125374900
2013-02-27,64.061432,64.634285,62.950001,63.509998,56.457813,146837600
2013-02-28,63.435715,63.981430,63.057144,63.057144,56.055256,80628800
2013-03-01,62.571430,62.597141,61.425713,61.495716,54.667191,138112100
2013-03-04,61.114285,61.171429,59.857143,60.007141,53.343914,145688900
2013-03-05,60.211430,62.169998,60.107143,61.591427,54.752277,159608400
2013-03-06,62.072857,62.178570,60.632858,60.808571,54.056362,115062500
2013-03-07,60.642857,61.715714,60.151428,61.511429,54.681171,117118400
2013-03-08,61.400002,62.204285,61.230000,61.674286,54.825935,97870500
2013-03-11,61.392857,62.715714,60.734287,62.552856,55.606945,118559000
2013-03-12,62.228573,62.697144,61.081429,61.204285,54.408131,116477900
2013-03-13,61.207142,62.071430,60.765713,61.192856,54.397972,101387300
2013-03-14,61.832859,62.091427,61.492859,61.785713,54.925003,75968900
2013-03-15,62.561428,63.461430,62.464287,63.380001,56.342243,160990200
2013-03-18,63.064285,65.351425,63.028572,65.102859,57.873802,151549300
2013-03-19,65.642860,65.852859,64.071426,64.927139,57.717594,131693800
2013-03-20,65.345711,65.375717,64.227142,64.582855,57.411533,77165200
2013-03-21,64.317146,65.425713,64.300003,64.675713,57.494091,95813900
2013-03-22,64.940002,66.014282,64.730003,65.987144,58.659897,98776300
2013-03-25,66.384285,67.135712,65.968575,66.225716,58.871971,125283900
2013-03-26,66.491432,66.548569,65.790001,65.877144,58.562092,73573500
2013-03-27,65.208572,65.257141,64.389999,64.582855,57.411533,82809300
2013-03-28,64.260002,64.545715,63.088570,63.237144,56.215252,110709900
2013-04-01,63.128571,63.385715,61.105713,61.272858,54.469090,97433000
2013-04-02,61.085712,62.591427,60.914288,61.398571,54.580837,132379800
2013-04-03,61.624287,62.468571,61.472858,61.712856,54.860222,90804000
2013-04-04,61.965714,62.142857,60.750000,61.102856,54.317955,89611900
2013-04-05,60.642857,60.707142,59.954285,60.457142,53.743958,95923800
2013-04-08,60.692856,61.071430,60.355713,60.887142,54.126198,75207300
2013-04-09,60.908573,61.214287,60.392857,60.997143,54.223984,76653500
2013-04-10,61.157143,62.437141,60.858570,62.241428,55.330112,93982000
2013-04-11,61.959999,62.570000,61.599998,62.047142,55.157391,82091100
2013-04-12,62.021427,62.021427,61.298573,61.400002,54.582111,59653300
2013-04-15,61.000000,61.127144,59.935715,59.978573,53.318516,79380000
2013-04-16,60.224285,60.944286,60.081429,60.891430,54.130005,76442800
2013-04-17,60.038570,60.085712,56.872856,57.542858,51.153259,236264000
2013-04-18,57.855713,57.970001,55.677143,56.007141,49.788082,166574800
2013-04-19,55.424286,57.085712,55.014286,55.790001,49.595051,152318600
2013-04-22,56.091427,57.457142,55.895714,56.952858,50.628777,107480100
2013-04-23,57.712856,58.340000,56.972858,58.018570,51.576157,166059600
2013-04-24,56.220001,59.321430,56.071430,57.922855,51.491077,242412800
2013-04-25,58.747143,59.134285,58.142857,58.340000,51.861889,96209400
2013-04-26,58.544285,59.824287,58.321430,59.599998,52.981987,191024400
2013-04-29,60.064285,61.945713,60.000000,61.445713,54.622746,160081600
